failure,rawReadErrorRate,spinUpTime,startStopCount,reallocatedSectors,seekErrorRate,powerOnHours,spinRetryCount,powerCycleCount,reportedUncorrect,loadCycleCount,temperature,pendingSectors,offlineUncorrectable,crcErrorCount,brand_HGST,brand_Other,brand_Seagate,brand_Toshiba,brand_WD
0,0.0,7992.0,6.0,0.0,0.0,42545.0,0.0,5.0,0.0,68.0,29.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,404.0,14.0,0.0,0.0,15929.0,0.0,13.0,0.0,586.0,36.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,330.0,20.0,0.0,0.0,19686.0,0.0,20.0,0.0,3454.0,40.0,0.0,0.0,0.0,0,0,0,0,1
0,180493520.0,0.0,14.0,0.0,596603029.0,20207.0,0.0,14.0,0.0,12700.0,31.0,0.0,0.0,0.0,0,0,1,0,0
0,20521392.0,0.0,2.0,0.0,756828903.0,15390.0,0.0,2.0,0.0,659.0,29.0,0.0,0.0,0.0,0,0,1,0,0
0,7074800.0,0.0,323.0,0.0,288220833.0,14456.0,0.0,14.0,0.0,893.0,35.0,0.0,0.0,0.0,0,0,1,0,0
0,126626008.0,0.0,4.0,0.0,841174508.0,13445.0,0.0,4.0,0.0,3303.0,39.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,375.0,3.0,0.0,0.0,36039.0,0.0,3.0,0.0,2017.0,33.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,332.0,9.0,0.0,0.0,19757.0,0.0,9.0,0.0,3062.0,30.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,0.0,7.0,0.0,0.0,50655.0,0.0,7.0,0.0,2208.0,31.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,0.0,7.0,0.0,0.0,37286.0,0.0,7.0,0.0,1395.0,32.0,0.0,0.0,0.0,1,0,0,0,0
0,108454272.0,0.0,88.0,0.0,126931198.0,64180.0,0.0,88.0,0.0,270.0,28.0,0.0,0.0,0.0,0,0,1,0,0
0,139544472.0,0.0,11.0,0.0,787807786.0,38588.0,0.0,9.0,0.0,2147.0,30.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,355.0,10.0,0.0,0.0,4877.0,0.0,10.0,0.0,410.0,37.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,7746.0,8.0,0.0,0.0,44853.0,0.0,8.0,0.0,15.0,26.0,0.0,0.0,0.0,0,0,0,1,0
0,0.0,0.0,5.0,0.0,0.0,28752.0,0.0,5.0,0.0,7925.0,28.0,0.0,0.0,0.0,1,0,0,0,0
0,0.0,357.0,9.0,0.0,0.0,4316.0,0.0,9.0,0.0,389.0,40.0,0.0,0.0,0.0,0,0,0,0,1
0,0.0,7860.0,21.0,0.0,0.0,34902.0,0.0,21.0,0.0,25.0,39.0,0.0,0.0,0.0,0,0,0,1,0
0,78044024.0,0.0,14.0,0.0,932531116.0,43595.0,0.0,13.0,0.0,2472.0,34.0,0.0,0.0,0.0,0,0,1,0,0
0,62350632.0,0.0,2.0,0.0,605711041.0,14349.0,0.0,2.0,0.0,9871.0,30.0,0.0,0.0,0.0,0,0,1,0,0
0,0.0,370.0,11.0,0.0,0.0,331.0,0.0,11.0,0.0,124.0,29.0,0.0,0.0,0.0,0,0,0,0,1
0,114333320.0,0.0,3.0,0.0,23715699.0,13291.0,0.0,3.0,0.0,602.0,26.0,0.0,0.0,0.0,0,0,1,0,0
0,88134336.0,0.0,6.0,0.0,183717920.0,72751.0,0.0,6.0,0.0,385.0,37.0,0.0,0.0,0.0,0,0,1,0,0
1,0.0,7904.0,8.0,0.0,0.0,38458.0,0.0,7.0,0.0,476.0,29.0,1.0,0.0,0.0,0,0,0,1,0
